Day,WTI
2023/6/1,70.09
2023/6/2,71.76
2023/6/5,72.14
2023/6/6,71.71
2023/6/7,72.52
2023/6/8,71.28
2023/6/9,70.16
2023/6/12,67.08
2023/6/13,69.39
2023/6/14,68.22
2023/6/15,70.61
2023/6/16,71.81
2023/6/20,70.94
2023/6/21,72.55
2023/6/22,69.22
2023/6/23,68.91
2023/6/26,69.09
2023/6/27,67.68
2023/6/28,69.54
2023/6/29,69.85
2023/6/30,70.66
2023/7/3,69.71
2023/7/5,71.78
2023/7/6,71.76
2023/7/7,73.91
2023/7/10,73.05
2023/7/11,74.87
2023/7/12,75.77
2023/7/13,76.86
2023/7/14,75.44
2023/7/17,74.17
2023/7/18,75.76
2023/7/19,75.4
2023/7/20,75.65
2023/7/21,77.06
2023/7/24,78.81
2023/7/25,79.76
2023/7/26,79.11
2023/7/27,80.17
2023/7/28,80.55
2023/7/31,81.8
2023/8/1,81.37
2023/8/2,79.5
2023/8/3,81.56
2023/8/4,82.76
2023/8/7,81.94
2023/8/8,82.94
2023/8/9,84.35
2023/8/10,82.81
2023/8/11,83.17
2023/8/14,82.5
2023/8/15,81.06
2023/8/16,79.4
2023/8/17,80.43
2023/8/18,81.25
2023/8/21,80.71
2023/8/22,80.25
2023/8/23,78.91
2023/8/24,79.52
2023/8/25,80.47
2023/8/28,80.65
2023/8/29,81.14
2023/8/30,81.64
2023/8/31,83.55
